date,open,high,low,close,volume
2025-12-01,100.0,101.2,99.5,100.8,110000
2025-12-02,100.8,101.6,100.1,101.3,108000
2025-12-03,101.3,102.0,100.7,101.0,115000
2025-12-04,101.0,102.4,100.9,102.1,126000
2025-12-05,102.1,102.6,101.1,101.4,118000
2025-12-08,101.4,102.3,100.8,101.9,111000
2025-12-09,101.9,103.0,101.4,102.7,124000
2025-12-10,102.7,103.4,101.9,102.2,132000
2025-12-11,102.2,103.1,101.7,102.9,129000
2025-12-12,102.9,104.0,102.5,103.7,140000
2025-12-15,103.7,104.5,103.0,103.4,136000
2025-12-16,103.4,104.2,102.8,103.9,127000
2025-12-17,103.9,105.1,103.6,104.8,145000
2025-12-18,104.8,105.3,104.0,104.2,151000
2025-12-19,104.2,105.0,103.5,103.8,142000
2025-12-22,103.8,104.4,102.9,103.1,148000
2025-12-23,103.1,104.0,102.2,102.7,137000
2025-12-24,102.7,103.6,102.0,103.3,121000
2025-12-26,103.3,104.2,102.8,103.9,119000
2025-12-29,103.9,104.7,103.1,104.4,130000
2025-12-30,104.4,105.0,103.4,103.6,143000
2025-12-31,103.6,104.3,102.9,103.1,139000
2026-01-01,103.1,104.0,102.3,103.5,122000
2026-01-02,103.5,104.4,103.0,104.1,126000
2026-01-05,104.1,105.2,103.8,104.8,149000
2026-01-06,104.8,105.6,104.0,105.1,152000
2026-01-07,105.1,105.9,104.3,104.6,154000
2026-01-08,104.6,105.2,103.7,104.0,147000
2026-01-09,104.0,104.8,103.2,103.5,141000
2026-01-12,103.5,104.3,102.8,103.9,133000
2026-01-13,103.9,104.7,103.3,104.2,128000
2026-01-14,104.2,105.3,103.9,105.0,150000
2026-01-15,105.0,106.1,104.6,105.8,162000
2026-01-16,105.8,106.5,105.1,105.2,159000
2026-01-19,105.2,106.0,104.3,104.7,151000
2026-01-20,104.7,105.4,104.0,104.9,142000
2026-01-21,104.9,105.8,104.5,105.5,146000
2026-01-22,105.5,106.2,104.8,105.0,138000
2026-01-23,105.0,105.9,104.2,104.4,144000
2026-01-26,104.4,105.0,103.6,104.1,136000
